XN Date,Cheque No,Narration,Debits,Credits,Balance,Sub Category
23-10-2022,TPTBMS-1050134424, chrg: ecs return on 08-oct-2022  ach uip (value date: 22-oct-22 ) ,1770,,315912,ECS BOUNCED CHARGES
23-10-2022,TPTBMS-1049913334, chrg: ecs return on 07-oct-2022  ach uip (value date: 22-oct-22 ) ,590,,315322,ECS BOUNCED CHARGES
23-10-2022,TPTBMS-1049019756, chrg: ecs return on 03-oct-2022  ach uip (value date: 22-oct-22 ) ,590,,314732,ECS BOUNCED CHARGES
16-02-2023,TPTBMS-1124278579, chrg: ecs return on 23-jan-2023  ach uip (value date: 15-feb-23 ) ,590,,302097,ECS BOUNCED CHARGES
04-03-2023,TPTBMS-1130319583, chrg: ecs return on 07-feb-2023  ach uip (value date: 03-mar-23 ) ,590,,243540,ECS BOUNCED CHARGES
04-03-2023,TPTBMS-1130229274, chrg: ecs return on 06-feb-2023  ach uip (value date: 03-mar-23 ) ,590,,250880,ECS BOUNCED CHARGES
08-03-2023,TPTBMS-1133542975, chrg: ecs return on 27-feb-2023  ach uip (value date: 07-mar-23 ) ,590,,9945.69,ECS BOUNCED CHARGES
26-03-2023,TPTBMS-1141723641, chrg: ecs return on 09-mar-2023  ach uip (value date: 25-mar-23 ) ,590,,692851,ECS BOUNCED CHARGES
22-06-2023,TBMS-1199198045, chrg: ecs return on 15-may-2023  tp ach uip ,590,,70685.2,ECS BOUNCED CHARGES
06-12-2018,TRANSFERFROM3199304090447 /,bytransfer-neftrrsbin518340853834(06-12-18)returned-,,9676,39017.9,NEFT BOUNCE
09-02-2022,N040221826766605,neft return-account closed-patel industr ies-axrj220407184200,,200000,359495,NEFT BOUNCE
21-02-2019,NEFTINW-0142191652,neft rtn kkbkh19052642426account does not,,50000,529924,NEFT BOUNCE
23-12-2019,,neft/return/axmb193573089440/r05/ramcacharanjatpm,,8000,585162,NEFT BOUNCE
26-12-2019,,neft/return/axmb193603953246/r03/sunil kumarpmt f,,14000,542129,NEFT BOUNCE
06-02-2023,TBMS-1117195934, chrg: ecs return on 05-jan-2023  kotak life insuran (value date: 05-feb-23 ) ,590,,8162.92,ECS BOUNCED CHARGES
04-04-2019,NEFTINW- 0149052514, neft rtn kkbkh19094839150 account does not exist  ,,3604,20297.98,NEFT BOUNCE
03-04-2019,NEFTINW- 0148881788, neft rtn kkbkh19093709239 account does not exist  ,,1802,21958.82,NEFT BOUNCE
28-08-2021,TBMS- 789100967, chrg: ecs return on 20.may.2021 perfect capital se  ,590,,45360.55,ECS BOUNCED CHARGES
09-12-2021,TBMS- , chrg: ecs return on 20-nov-2021 tp emnd homecredit(value date: 08- 85672667112-2021) ,590,,625.4,ECS BOUNCED CHARGES
10-11-2021,TBMS- 842638523, chrg: ecs return on 20-oct-2021 tp emnd homecredit  ,590,,8257.96,ECS BOUNCED CHARGES
28-09-2021,,ecs bfl return chg rev,,590,35147.89,ECS BOUNCED CHARGES
28-09-2021,,ecs return chg dt 02/09/2021 rev,,590,34557.89,ECS BOUNCED CHARGES
28-09-2021,,ecs return chg dt 02/09/2021,590,,32787.89,ECS BOUNCED CHARGES
